date,Year,event_id,best_of,system
2018-04-17,2018,3697,3,123412
2018-04-17,2018,3672,3,123412
2018-04-17,2018,3681,3,123412
2018-04-16,2018,3672,3,123412
2018-04-16,2018,3626,1,121234
2018-04-16,2018,3626,1,121234
2018-04-16,2018,3672,3,123412
2018-04-15,2018,3686,3,123412
2018-04-14,2018,3671,3,123412
2018-04-14,2018,3590,3,123412
2018-04-14,2018,3626,1,121234
2018-04-14,2018,3626,1,121234
2018-04-13,2018,3590,3,123412
2018-04-13,2018,3670,3,123412
2018-04-13,2018,3671,3,123412
2018-04-13,2018,3643,3,123412
2018-04-12,2018,3570,3,123412
2018-04-12,2018,3570,3,123412
2018-04-08,2018,3642,3,123412
2018-04-08,2018,3648,3,321412
2018-04-08,2018,3665,3,123412
2018-04-07,2018,3613,3,123412
2018-04-07,2018,3479,3,123412
2018-04-07,2018,3613,3,123412
2018-04-07,2018,3642,3,123412
2018-04-05,2018,3642,3,123412
2018-04-05,2018,3580,3,123412
2018-04-05,2018,3589,3,123412
2018-04-05,2018,3589,3,123412
2018-04-04,2018,3580,3,123412
2018-04-04,2018,3638,3,123412
2018-04-03,2018,3632,3,123421
2018-04-03,2018,3632,3,123412
2018-04-03,2018,3574,3,123412
2018-04-03,2018,3469,3,123412
2018-04-03,2018,3469,3,123412
2018-04-02,2018,3623,3,123412
2018-04-02,2018,3608,3,123412
2018-03-31,2018,3636,3,123412
2018-03-29,2018,3635,3,123412
2018-03-28,2018,3470,3,123412
2018-03-27,2018,3612,3,123412
2018-03-25,2018,3485,3,123412
2018-03-25,2018,3494,3,123412
2018-03-24,2018,3625,3,123412
2018-03-24,2018,3485,3,123412
2018-03-24,2018,3638,3,123412
2018-03-24,2018,3550,3,123412
2018-03-23,2018,3485,3,123412
2018-03-23,2018,3632,3,123421
2018-03-18,2018,3623,3,123412
2018-03-18,2018,3585,3,123412
2018-03-17,2018,3624,3,123411
2018-03-17,2018,3618,3,123421
2018-03-11,2018,3587,3,123412
2018-03-11,2018,3550,3,123412
2018-03-10,2018,3593,3,123412
2018-03-10,2018,3600,3,123412
2018-03-10,2018,3587,3,123412
2018-03-09,2018,3583,3,123412
2018-03-08,2018,3552,3,123412
2018-03-06,2018,3568,3,123412
2018-03-06,2018,3532,3,123412
2018-03-05,2018,3533,3,123412
2018-03-05,2018,3552,3,123412
2018-03-03,2018,3533,3,123412
2018-03-03,2018,3533,3,123412
2018-03-03,2018,3309,3,123412
2018-03-03,2018,3533,3,123412
2018-03-02,2018,3542,3,123412
2018-03-01,2018,3309,3,123412
2018-03-01,2018,3309,3,123412
2018-02-28,2018,3309,3,123412
2018-02-28,2018,3309,3,123412
2018-02-25,2018,3548,3,123412
2018-02-21,2018,3547,3,123412
2018-02-19,2018,3486,3,123412
2018-02-19,2018,3486,3,123412
2018-02-18,2018,3486,3,123412
2018-02-18,2018,3486,3,123412
2018-02-12,2018,3543,3,123412
2018-02-11,2018,3403,3,123412
2018-02-08,2018,3500,3,123412
2018-02-07,2018,3514,3,123412
2018-02-04,2018,3116,3,123412
2018-02-04,2018,3535,3,121234
2018-02-03,2018,3512,3,123412
2018-02-03,2018,3489,3,123412
2018-02-02,2018,3500,3,123412
2018-02-02,2018,3489,3,123412
2018-02-02,2018,3489,3,123412
2018-02-01,2018,3512,3,123412
2018-02-01,2018,3512,3,123412
2018-02-01,2018,3514,3,123412
2018-01-31,2018,3441,3,123412
2018-01-31,2018,3506,3,123412
2018-01-31,2018,3441,3,123412
2018-01-30,2018,3500,3,123412
2018-01-30,2018,3359,3,123412
2018-01-29,2018,3511,3,123412
2018-01-28,2018,3508,3,121234
2018-01-27,2018,3467,3,121234
